"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","1",""
"Argentina","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","0",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","2",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","2",""
"Austria","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","2",""
"Chile","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","40",""
"Chile","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","24",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2019","Kilowatts,  thousand","261.86",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","206.86",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","206.86",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","207",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","247",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","246",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","217.5",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","217.5",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","211",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","166",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","166",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","166",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","166",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","166",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","166.16",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","166.16",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","162.71",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","144.71",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","144.71",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","136.16",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","120",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","120",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","70",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","65",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","60",""
"Costa Rica","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","55",""
"Croatia","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","1","1"
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2019","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","204.4",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","151.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","151.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","151.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","161.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","161.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","161.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","161.2",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","150",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","105",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","105","1"
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","105",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","105",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","105",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","105",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","105",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","95",""
"El Salvador","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","95",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","7.3",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","7.3",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","7.3",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","7",""
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","7","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","7","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","7","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","7","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","7","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","7","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","9","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","9","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","8","1"
"Ethiopia","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","8","1"
"Ethiopia, incl. Eritrea","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","12",""
"Ethiopia, incl. Eritrea","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","12",""
"Ethiopia, incl. Eritrea","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","12",""
"Ethiopia, incl. Eritrea","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","42","1"
"France","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","16",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","16",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","16",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","17",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","17",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","17",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","16",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","17",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","0",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","0",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","0",""
"France","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","0",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","36",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","32",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","33",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","29",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","29",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","26",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","12",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","8",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","8",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","8",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","3",""
"Germany","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","3",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","2",""
"Greece","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","2",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","14.7",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","14.5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","14.5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","14.5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","14.5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","16",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","15",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","5",""
"Guadeloupe","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","5",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","39.28",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","33.56",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","33.56",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","33.56",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","33.95",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","33.95",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","31.7",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","49.2",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","49.2",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","49.2",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","44",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","44",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","29",""
"Guatemala","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","29",""
"Honduras","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","35",""
"Honduras","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","35",""
