country,population,total_prod,solar,wind,hydro,geothermal,nuclear,others,solar_nic,wind_nic,hydro_nic,geothermal_nic,nuclear_nic
Afghanistan,37171.921,979.0,0.0,0.0,1065.79,0.0,0.0,-86.78999999999996,0.0,0.0,384.0,0.0,0.0
Africa,1275920.972,,,,,,,,,,,,
Albania,2882.74,8506.92,0.0,0.0,8552.15,0.0,0.0,-45.22999999999956,1.0,0.0,2105.0,0.0,0.0
Algeria,42228.407999999996,68962.0,62.0,84.0,638.0,0.0,0.0,68178.0,344.0,10.0,129.0,0.0,0.0
American Samoa,55.465,160.5,4.832,0.0,0.0,0.0,0.0,155.668,5.066,0.0,0.0,0.0,0.0
Andorra,77.006,139.42,0.9,0.0,118.2,0.0,0.0,20.31999999999998,1.5,0.0,46.0,0.0,0.0
Angola,30809.787,11445.0,18.0,0.0,8734.0,0.0,0.0,2693.0,13.0,0.0,2699.0,0.0,0.0
Anguilla,14.731,84.0,0.3,0.0,0.0,0.0,0.0,83.7,0.5,0.0,0.0,0.0,0.0
Antigua and Barbuda,96.286,335.0,13.0,0.0,0.0,0.0,0.0,322.0,9.0,0.0,0.0,0.0,0.0
Argentina,44361.15,148307.0,108.0,1413.0,41430.0,0.0,6453.0,98903.0,191.0,752.0,11308.0,0.0,1755.0
Armenia,2951.745,7437.445,19.463,1.881,2318.175,0.0,2076.0789999999997,3021.8469999999998,18.0,2.9,1336.4,0.0,407.5
Aruba,105.845,982.8,0.0,174.9,0.0,0.0,0.0,807.9,0.0,30.0,0.0,0.0,0.0
Asia,4560667.108,,,,,,,,,,,,
Australia,24898.152000000002,247292.0,9929.0,15164.0,16021.0,0.0,0.0,206178.0,8626.0,5679.0,8523.0,0.0,0.0
Australia/New Zealand,29641.283,,,,,,,,,,,,
Austria,8891.388,65120.0,1438.0,6030.0,41216.0,0.0,0.0,16436.0,1438.0,3133.0,14516.0,1.0,0.0
Azerbaijan,9949.537,24360.5,39.3,82.70002,1768.0,0.0,0.0,22470.49998,34.9,66.04,1130.8,0.0,0.0
Bahamas,385.63699999999994,2200.0,0.0,0.0,0.0,0.0,0.0,2200.0,,,,,
Bahrain,1569.4460000000001,29517.0,9.0,1.0,0.0,0.0,0.0,29507.0,5.0,1.0,0.0,0.0,0.0
Bangladesh,161376.708,74195.3,291.3,6.0,1085.8,0.0,0.0,72812.2,135.0,1.0,230.0,0.0,0.0
Barbados,286.64099999999996,1038.0,44.09,0.0,0.0,0.0,0.0,993.91,25.0,0.0,0.0,0.0,0.0
Belarus,9452.617,36707.0,118.0,99.0,324.0,0.0,0.0,36166.0,156.6,100.9,105.0,0.0,0.0
Belgium,11482.178,71981.0,3902.0,7465.0,1329.0,0.0,28597.0,30688.0,3987.0,3261.0,1418.0,0.0,5918.0
Belize,383.07099999999997,624.373455555556,0.0,0.0,249.69555,0.0,0.0,374.677905555556,0.48,0.0,51.3,0.0,0.0
Benin,11485.044,202.0,5.0,0.0,0.0,0.0,0.0,197.0,5.0,0.0,66.0,0.0,0.0
Bermuda,62.756,605.3,0.0,0.0,0.0,0.0,0.0,605.3,4.0,0.0,0.0,0.0,0.0
Bhutan,754.388,6960.11,0.662,1.13,6958.64,0.0,0.0,-0.3220000000010259,0.5,0.6,1614.1,0.0,0.0
Bolivia (Plurinational State of),11353.142,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",25.711,,,,,,,,,,,,
Bosnia and Herzegovina,3323.925,17912.0,21.0,103.0,6519.0,0.0,0.0,11269.0,18.0,51.0,2236.0,0.0,0.0
Botswana,2254.0679999999998,2729.895,5.0,0.0,0.0,0.0,0.0,2724.895,1.3,0.0,0.0,0.0,0.0
Brazil,209469.323,593576.0,3461.0,48475.0,388971.0,0.0,15674.0,136995.0,2360.0,14400.0,104198.0,0.0,1990.0
British Virgin Islands,29.802,140.0,0.3,0.6,0.0,0.0,0.0,139.1,0.3,0.3,0.0,0.0,0.0
Brunei Darussalam,428.963,3683.0,2.0,0.0,0.0,0.0,0.0,3681.0,1.2,0.0,0.0,0.0,0.0
Bulgaria,7051.608,42715.0,1343.0,1318.0,5423.0,0.0,16125.0,18506.0,1033.0,699.0,3379.0,0.0,1967.0
Burkina Faso,19751.466,966.0,54.1,0.0,91.4,0.0,0.0,820.5,24.0,0.0,32.0,0.0,0.0
Burundi,11175.374,215.87,7.93,0.0,133.03,0.0,0.0,74.91,5.1,0.0,48.28,0.0,0.0
Cabo Verde,543.7669999999999,482.1,10.4,93.0,0.0,0.0,0.0,378.70000000000005,9.3,31.1,0.0,0.0,0.0
Cambodia,16249.792,7738.0,16.0,0.0,4737.0,0.0,0.0,2985.0,10.0,0.0,1329.7,0.0,0.0
Cameroon,25216.267000000003,8374.0,19.0,0.0,5023.0,0.0,0.0,3332.0,19.0,0.0,732.2,0.0,0.0
Canada,37074.562000000005,635812.0,3796.0,33183.0,385951.0,0.0,100731.0,112151.0,3095.0,12816.0,81396.0,0.0,14033.0
Caribbean,43163.817,,,,,,,,,,,,
Cayman Islands,64.17399999999999,657.72,0.0,0.0,0.0,0.0,0.0,657.72,,,,,
Central African Republic,4666.3679999999995,,,,,,,,,,,,
Central America,175471.78699999998,,,,,,,,,,,,
Central Asia,72051.628,,,,,,,,,,,,
Central and Southern Asia,1967865.572,,,,,,,,,,,,
Chad,15477.729,221.0,0.0,0.0,0.0,0.0,0.0,221.0,,,,,
Channel Islands,170.49900000000002,,,,,,,,,,,,
Chile,18729.16,79883.0,5217.0,3588.0,23367.0,214.0,0.0,47497.0,2438.0,1529.0,6630.0,40.0,0.0
China,1427647.7859999998,6612610.0,177517.0,365971.0,1231787.0,0.0,294359.0,4542976.0,174330.0,184270.0,361130.0,0.0,44660.0
"China, Hong Kong SAR",7371.73,36565.0,0.0,0.0,0.0,0.0,0.0,36565.0,,,,,
"China, Macao SAR",631.636,599.0,0.0,0.0,0.0,0.0,0.0,599.0,,,,,
Colombia,49661.047999999995,77844.0,21.0,43.0,59933.0,0.0,0.0,17847.0,111.0,18.4,11725.6,0.0,0.0
Comoros,832.322,86.709,0.0,0.0,0.0,0.0,0.0,86.709,,,,,
Congo,5244.359,3117.0,1.0,0.0,1239.0,0.0,0.0,1877.0,0.57,0.0,214.0,0.0,0.0
Cook Islands,17.518,41.4,10.5,0.0,0.0,0.0,0.0,30.9,6.0,0.0,0.0,0.0,0.0
Costa Rica,4999.441,11376.44,55.3383,1798.875,8342.896999999999,968.571,0.0,210.75870000000214,44.310320000000004,407.7752,2387.6756,206.86,0.0
Croatia,4156.405,13182.0,75.0,1335.0,7785.0,2.0,0.0,3985.0,68.0,586.0,2201.7,1.0,0.0
Cuba,11338.133999999998,18878.8,124.3,43.5,145.5,0.0,0.0,18565.5,103.0,36.0,64.0,0.0,0.0
Curaçao,162.752,849.0,19.0,234.0,0.0,0.0,0.0,596.0,11.0,47.0,0.0,0.0,0.0
Cyprus,1189.265,4828.0,200.0,221.43,0.0,0.0,0.0,4406.57,118.5,157.725,0.0,0.0,0.0
Czechia,10665.677,80861.0,2359.0,609.0,2679.0,0.0,29921.0,45293.0,2075.0,316.0,2264.0,0.0,4290.0
Côte d'Ivoire,25069.23,9866.0,0.0,0.0,2962.0,0.0,0.0,6904.0,0.0,0.0,879.0,0.0,0.0
Dem. People's Republic of Korea,25549.604,,,,,,,,,,,,
Democratic Republic of the Congo,84068.091,,,,,,,,,,,,
Denmark,5752.126,29323.0,953.0,13899.0,15.0,0.0,0.0,14456.0,998.0,6121.0,9.0,0.0,0.0
Djibouti,958.923,58.0,0.0,0.0,0.0,0.0,0.0,58.0,,,,,
Dominica,71.625,106.304,0.0,0.0,24.18,0.0,0.0,82.124,0.0,0.0,9.84,0.0,0.0
Dominican Republic,10627.141000000001,18958.31,230.44,497.48,1779.51,0.0,0.0,16450.88,203.41,183.25,617.46,0.0,0.0
Eastern Africa,422563.36299999995,,,,,,,,,,,,
Eastern Asia,1666471.33,,,,,,,,,,,,
Eastern Europe,293790.25899999996,,,,,,,,,,,,
Eastern and South-Eastern Asia,2321769.77,,,,,,,,,,,,
Ecuador,17084.358,28829.1,38.08,80.26,20678.0,0.0,0.0,8032.759999999998,26.74,21.15,5216.43,0.0,0.0
Egypt,98423.59800000001,190682.0,537.0,2234.0,12726.0,0.0,0.0,175185.0,190.0,967.0,2832.0,0.0,0.0
El Salvador,6420.746,5238.4,289.3,0.0,1630.6,1545.3,0.0,1773.1999999999998,166.5,0.0,575.1,204.4,0.0
Equatorial Guinea,1308.975,736.096,0.0,0.0,200.0,0.0,0.0,536.096,5.0,0.0,326.6,0.0,0.0
Eritrea,3452.7859999999996,473.0,43.0,2.0,0.0,0.0,0.0,428.0,20.0,1.0,0.0,0.0,0.0
Estonia,1322.92,10933.0,31.0,636.0,15.0,0.0,0.0,10251.0,32.0,310.0,7.0,0.0,0.0
Eswatini,1136.281,519.0,0.115,0.0,208.0,0.0,0.0,310.885,0.1,0.0,73.0,0.0,0.0
Ethiopia,109224.414,13553.0,20.0,533.0,13018.0,0.0,0.0,-18.0,11.02,324.0,3814.0,7.3,0.0
Europe,1492838.88,,,,,,,,,,,,
Europe and Northern America,1110715.436,,,,,,,,,,,,
Falkland Islands (Malvinas),3.234,,,,,,,,,,,,
Faroe Islands,48.497,,,,,,,,,,,,
Fiji,883.4830000000001,993.008,9.5,2.5580000000000003,566.7090000000001,0.0,0.0,414.241,9.5,21.0,138.4,0.0,0.0
Finland,5522.576,67533.0,90.0,5839.0,13301.0,0.0,22793.0,25510.0,140.0,2041.0,3287.0,0.0,2784.0
France,64990.511,558087.0,10569.0,28600.0,70590.0,129.0,412942.0,35257.0,9617.0,14900.0,25793.0,16.0,63130.0
French Guiana,282.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,277.67900000000003,686.0,37.0,0.08,164.0,0.0,0.0,484.92,35.2,0.1,46.73,0.0,0.0
Gabon,2119.275,2586.72,2.0,0.0,1056.53,0.0,0.0,1528.1899999999998,1.0,0.0,332.04,0.0,0.0
Gambia,2280.094,308.517,3.5,0.1,0.0,0.0,0.0,304.917,2.2,1.2,0.0,0.0,0.0
Georgia,4002.942,11933.7,0.0,84.3,9949.4,0.0,0.0,1900.0000000000018,0.0,20.0,2695.0,0.0,0.0
Germany,83124.418,609191.0,45784.0,109951.0,24143.0,178.0,76005.0,353130.0,45179.0,58843.0,10940.0,36.0,10799.0
Ghana,29767.102000000003,16196.0,32.8,0.0,6017.0,0.0,0.0,10146.2,42.5,0.0,1580.0,0.0,0.0
Gibraltar,33.718,211.1,0.0,0.0,0.0,0.0,0.0,211.1,,,,,
Greece,10522.246000000001,50084.0,3791.0,6300.0,5760.0,0.0,0.0,34233.0,2652.0,2877.0,3409.0,0.0,0.0
Greenland,56.56399999999999,515.0,0.0,0.0,400.0,0.0,0.0,115.0,0.0,0.0,91.3,0.0,0.0
Grenada,111.454,224.45723199999998,0.108333333333333,0.0,0.0,0.0,0.0,224.34889866666666,0.44,0.0,0.0,0.0,0.0
Guadeloupe,399.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,165.768,1652.0,51.6,0.5,0.0,0.0,0.0,1599.9,25.65,0.275,0.0,0.0,0.0
Guatemala,17247.849,12793.178,208.31,319.5,5218.465,249.75,0.0,6797.153,91.5,106.5,1491.89,39.28,0.0
Guinea,12414.293,1875.5,0.0,0.0,1181.5,0.0,0.0,694.0,0.0,0.0,366.85,0.0,0.0
Guinea-Bissau,1874.3029999999999,86.6,6.92,0.0,0.0,0.0,0.0,79.67999999999999,5.3,0.0,0.0,0.0,0.0
Guyana,779.0060000000001,1103.1625,11.12,0.35,0.0,0.0,0.0,1091.6924999999999,7.77,0.08,0.0,0.0,0.0
Haiti,11123.178,1028.0,1.0,0.0,197.0,0.0,0.0,830.0,0.63,0.0,61.0,0.0,0.0
High-income countries,1252546.357,,,,,,,,,,,,
Holy See,0.8009999999999999,,,,,,,,,,,,
Honduras,9587.521999999999,9506.0,993.0,929.0,3262.0,297.0,0.0,4025.0,510.8,225.0,696.0,35.0,0.0
Hungary,9707.499,29832.0,620.0,607.0,222.0,12.0,15733.0,12638.0,726.0,329.0,57.0,3.0,2013.0
Iceland,336.713,19433.0,0.0,4.0,13814.0,6010.0,0.0,-395.0,0.0,2.0,2099.0,756.0,0.0
India,1352642.28,1413661.0,39728.0,64294.0,134991.0,0.0,37813.0,1136835.0,28455.0,38825.0,45447.0,0.0,6780.0
Indonesia,267670.543,273793.0,6.6,0.0,19774.0,12804.0,0.0,241208.4,14.0,1.0,5741.0,1981.0,0.0
Iran (Islamic Republic of),81800.188,,,,,,,,,,,,
Iraq,38433.6,80431.0,377.0,0.0,1818.0,0.0,0.0,78236.0,216.0,0.0,1796.0,0.0,0.0
Ireland,4818.69,30353.0,0.0,8640.0,932.0,0.0,0.0,20781.0,24.0,3676.0,529.0,0.0,0.0
Isle of Man,84.07700000000001,457.4,0.0,0.0,3.0,0.0,0.0,454.4,0.0,0.0,1.2,0.0,0.0
Israel,8381.516,66590.0,1574.0,183.0,0.0,0.0,0.0,64833.0,1358.0,35.0,9.0,0.0,0.0
Italy,60627.291,279844.0,22654.0,17716.0,50503.0,6105.0,0.0,182866.0,20108.0,10230.0,22498.0,767.0,0.0
Jamaica,2934.847,4383.0,46.0,302.0,179.0,0.0,0.0,3856.0,40.0,102.0,29.0,0.0,0.0
Japan,127202.192,1026696.0,62668.0,7481.0,88348.0,2524.0,64929.0,800746.0,56162.0,3497.0,50037.0,474.0,38042.0
Jordan,9965.318000000001,18338.6,836.2,707.0,22.7,0.0,0.0,16772.699999999997,698.5,280.4,12.0,0.0,0.0
Kazakhstan,18319.618000000002,94624.0,116.0,427.0,10330.0,0.0,0.0,83751.0,56.0,200.0,2500.0,0.0,0.0
Kenya,51392.565,11053.0,0.0,376.0,3986.0,5128.0,0.0,1563.0,0.0,336.1,820.7,627.0,0.0
Kiribati,115.84700000000001,29.9,4.9,0.0,0.0,0.0,0.0,25.0,2.9,0.0,0.0,0.0,0.0
Kuwait,4137.312,65791.0,4.0,0.0,0.0,0.0,0.0,65787.0,4.0,0.0,0.0,0.0,0.0
Kyrgyzstan,6304.03,15534.0,0.0,0.0,14318.0,0.0,0.0,1216.0,0.0,0.0,3135.0,0.0,0.0
Land-locked Developing Countries (LLDC),508906.024,,,,,,,,,,,,
Lao People's Democratic Republic,7061.507,,,,,,,,,,,,
Latin America and the Caribbean,1284433.364,,,,,,,,,,,,
Latvia,1928.4589999999998,6203.0,1.0,122.0,2432.0,0.0,0.0,3648.0,2.0,79.0,1565.0,0.0,0.0
Least developed countries,1009691.2220000001,,,,,,,,,,,,
Lebanon,6859.408,23102.0,48.0,0.0,348.0,0.0,0.0,22706.0,42.0,0.0,253.0,0.0,0.0
Lesotho,2108.328,516.66,0.0,0.0,516.66,0.0,0.0,0.0,0.28,0.0,74.18,0.0,0.0
Less developed regions,6363532.129,,,,,,,,,,,,
"Less developed regions, excluding China",4904154.517,,,,,,,,,,,,
"Less developed regions, excluding least developed countries",5353840.907,,,,,,,,,,,,
Liberia,4818.973,327.0,4.0,0.0,122.0,0.0,0.0,201.0,3.0,0.0,92.0,0.0,0.0
Libya,6678.559,33329.0,8.0,0.0,0.0,0.0,0.0,33321.0,5.0,0.0,0.0,0.0,0.0
Liechtenstein,37.91,89.0,25.2,0.0,61.9,0.0,0.0,1.9000000000000057,5.0,0.0,10.0,0.0,0.0
Lithuania,2801.264,3314.0,87.0,1144.0,960.0,0.0,0.0,1123.0,82.0,533.0,877.0,0.0,0.0
Low-income countries,736589.319,,,,,,,,,,,,
Lower-middle-income countries,3017014.452,,,,,,,,,,,,
Luxembourg,604.245,2171.0,120.0,255.0,1336.0,0.0,0.0,460.0,131.0,123.0,1330.0,0.0,0.0
Madagascar,26262.313,2047.0,0.12,0.0,968.3,0.0,0.0,1078.58,1.0,0.1,166.0,0.0,0.0
Malawi,18143.217,2055.655,0.0,0.0,2080.655,0.0,0.0,-25.0,0.0,0.0,450.0,0.0,0.0
Malaysia,31528.033,169882.0,632.0,0.0,26325.0,0.0,0.0,142925.0,1004.0,0.0,6167.9,0.0,0.0
Maldives,515.696,751.0,14.0,2.0,0.0,0.0,0.0,735.0,10.0,1.0,0.0,0.0,0.0
Mali,19077.749,3248.0,2.9,0.0,1130.0,0.0,0.0,2115.1,2.0,0.0,550.0,0.0,0.0
Malta,439.24800000000005,1912.0,190.0,0.06,0.0,0.0,0.0,1721.94,131.3,0.1,0.0,0.0,0.0
Marshall Islands,58.413000000000004,89.5,2.0,0.0,0.0,0.0,0.0,87.5,2.0,0.0,0.0,0.0,0.0
Martinique,375.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,4403.313,1175.7,144.0,104.0,0.0,0.0,0.0,927.7,87.0,34.0,0.0,0.0,0.0
Mauritius,1267.185,3087.5,49.3,15.1,124.5,0.0,0.0,2898.6,66.83,10.63,60.44,0.0,0.0
Mayotte,259.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melanesia,10715.336000000001,,,,,,,,,,,,
